id,Co(tapp)_precursor,TPA_substitution,Acid_pKa,Additive,Solvent2,solvent_1_name,Vessel,Degas,Temp_degC,TPA_eq,H2O_per_TPA,TAPP_conc_mM,Acid_conc_M,Solvent2_fraction,m-DNB,main_product
KE-040,Co(ttpp),(OMe)2,13.0,none,o-DCB,DMAc,Schlenk bomb,True,120.0,2.0,320.0,6.0,0.7,0.5,False,Co(tapp)
KE-042,Co(ttpp),(OMe)2,11.0,none,o-DCB,DMAc,Schlenk bomb,True,120.0,2.0,320.0,6.0,0.7,0.5,False,Co(tapp)
KE-044,Co(ttpp),(OMe)2,11.0,none,o-DCB,EtOH,microwave vial,True,120.0,2.079881656804734,85.13513513513513,20.0,0.6,0.5,False,COF-366-Co
KE-045,Co(ttpp),none,11.0,none,o-DCB,EtOH,microwave vial,True,120.0,2.158646616541353,83.38557993730407,20.0,0.6,0.5,False,COF-366-Co
KE-046,Co(ttpp),(OMe)2,11.0,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.081601231716705,88.53550295857988,20.0,0.6,0.25037481259370314,False,COF-366-Co
KE-048,Co(ttpp),(OMe)2,11.0,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.1097293343087054,83.00970873786407,20.0,0.6,0.24981245311327832,False,COF-366-Co
KE-049,Co(ttpp),none,11.0,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.1399330107927055,83.2695652173913,20.0,0.6,0.24981245311327832,False,COF-366-Co
KE-050,Co(ttpp),(OMe)2,10.8,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.0721336370539105,87.72444118724808,20.0,0.6,0.25037481259370314,False,MOCOF-1
KE-051,Co(ttpp),(OMe)2,20.0,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.1136536994660564,86.39480332010105,20.0,0.0,0.25037481259370314,False,Co(tapp)nXm
KE-052,Co(ttpp),(OMe)2,10.8,none,mesitylene,"1,4-dioxane",microwave vial,False,120.0,2.0,89.91691729323307,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-059,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.260336906584992,81.09756097560975,20.0,0.6,0.25037481259370314,False,MOCOF-1
KE-061,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.2664624808575806,80.87837837837837,10.0,0.6,0.24981245311327832,False,Co(tapp)nXm
KE-063,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",microwave vial,True,120.0,2.271822358346095,80.68756319514661,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-064,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",Schlenk bomb,True,120.0,1.043609022556391,172.47838616714697,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-065,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",Schlenk bomb,True,120.0,2.0218045112781953,89.02937895128301,20.0,0.3,0.25037481259370314,False,Co(tapp)
KE-069,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.0989945862335655,22.05232129697863,20.0,1.2,0.25037481259370314,False,COF-366-Co
KE-070,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,3.0052631578947366,29.947460595446586,20.0,1.2,0.25037481259370314,False,COF-366-Co
KE-073,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",microwave vial,True,120.0,2.1794276875483374,84.95386799148332,20.0,0.6,0.25037481259370314,False,MOCOF-1
KE-075,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.3178654292343386,19.96996996996997,20.0,1.2,0.25037481259370314,False,Co(tapp)
KE-076,Co(ttpp),(OMe)2,13.0,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.0984962406015035,42.887853815836614,20.0,1.2,0.25037481259370314,False,COF-366-Co
KE-081,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.2841530054644807,81.81818181818181,20.0,0.6,0.1996996996996997,False,Co(tapp)nXm
KE-082,Co(ttpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.293103448275862,81.81818181818181,38.0,0.6,0.2499249924992499,False,Co(tapp)
KE-083,Co(ttpp),none,11.0,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.0197418375094913,45.0,20.0,1.2,0.25037481259370314,False,COF-366-Co
KE-084,Co(ttpp),none,11.0,none,o-DCB,"1,4-dioxane",Schlenk bomb,False,120.0,2.0197418375094913,45.0,20.0,1.2,0.25037481259370314,False,COF-366-Co
KE-085,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.1779331779331783,85.40849090260434,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-089,Co(ttpp),none,10.8,none,o-DCB,EtOC2H4OH,microwave vial,True,120.0,2.100389105058366,88.69951834012598,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-090,Co(ttpp),none,10.8,none,o-DCB,diglyme,microwave vial,True,120.0,2.2280155642023347,83.61858190709047,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-091,Co(ttpp),F4,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.07593984962406,86.70771459616081,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-092,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.117509727626459,43.991179713340685,20.0,0.6,0.25037481259370314,False,COF-366-Co
KE-097,Co(ttpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.1022556390977445,42.81115879828326,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-098,Co(ttpp),none,10.8,TrOH,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0293233082706763,44.34975917006299,20.0,0.6,0.25037481259370314,False,COF-366-Co
KE-099,C120H88N8.Co.HI,none,10.8,PBA,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.1950328707085465,39.833610648918466,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-104,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.096319498825372,89.42846469929025,20.0,0.6,0.1996996996996997,False,Co(tapp)
KE-106,Co(ttpp),none,10.8,none,none,"1,4-dioxane",Schlenk bomb,True,120.0,2.083007047768207,45.0,20.0,0.6,0.0,False,Co(tapp)
KE-107,Co(ttpp),none,10.8,none,none,"1,4-dioxane",Schlenk bomb,True,120.0,2.074436090225564,43.38528452337803,40.0,0.6,0.0,False,Co(tapp)
KE-108,Co(ttpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,90.0,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-109,Co(ttpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,90.0,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-111,Co(ttpp),none,5.1,PBA,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,45.0,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-112,Co(ttpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.9430241051862676,90.0,42.0,0.6,0.2499249924992499,False,Co(tapp)nXm
KE-115,Co(ttpp),none,9.1,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,45.0,20.0,0.6,0.25037481259370314,False,COF-366-Co
KE-121,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.0,90.0,20.0,0.6,0.1996996996996997,False,Co(tapp)nXm
KE-127,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",Schlenk bomb,True,120.0,2.2,40.90909090909091,20.0,0.6,0.25037481259370314,False,COF-366-Co
KE-128,Co(ttpp),none,15.0,none,mesitylene,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,45.0,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-135,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,150.0,2.001419446415898,42.4468085106383,22.0,0.6,0.25037481259370314,False,Co(tapp)
KE-139,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,100.0,2.0,45.0,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-140,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,90.0,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-141,Co(ttpp),none,10.8,C4H9N,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,45.0,20.0,0.7,0.25037481259370314,False,Co(tapp)nXm
KE-144,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,45.0,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-145,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,False,120.0,2.0,45.0,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-146,Co(ttpp),none,10.8,C6H6N2O2,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,0.0,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-147,Co(ttpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,80.0,2.2,81.81818181818181,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-149,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.2691432903714936,79.98663548279319,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-150,Co(ttpp),none,10.8,none,C2H2Cl4,"1,4-dioxane",Schlenk bomb,True,120.0,2.028985507246377,45.0,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-151,Co(ttpp),none,10.8,none,o-DCB,CH3CN,Schlenk bomb,True,120.0,2.0014471780028944,43.275488069414315,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-154,Co(tapp),none,11.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.045977011494253,22.5,20.0,0.6,0.24981245311327832,False,Co(tapp)
KE-157,Co(ttpp),none,10.8,none,mesitylene,"1,4-dioxane",microwave vial,True,120.0,2.0,120.0,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-158,Co(ttpp),none,10.8,none,PhNO2,"1,4-dioxane",microwave vial,True,120.0,2.0,120.11314125087843,22.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-161,Co(ttpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.4999999999999998,45.0,20.0,0.6,0.25037481259370314,False,Co(tapp)nXm
KE-162,Co(ttpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.0,45.0,20.0,0.7,0.25037481259370314,False,Co(tapp)nXm
KE-163,Co(ttpp),none,10.8,C6H6N2O2,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,0.0,20.0,0.6,0.25037481259370314,False,COF-366-Co
KE-165,Co(ttpp),none,20.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,45.0,20.0,0.0,0.25037481259370314,False,Co(tapp)nXm
KE-167,Co(ttpp),none,10.8,PBA,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,0.0,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-172,Co(tapp),none,11.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,3.0066322770817977,15.000000000000002,20.0,0.6,0.25,False,COF-366-Co
